Title,Author,Year,Pages
Writing for Dollars,John Mccollister,0,279
Soul's Perfection (Journey of the Soul),Sylvia Browne,2000,350
The Camino,Shirley MacLaine,2000,589
Invitation,Oriah Mountain Dreamer,2000,553
Dream Pony (Sandy Lane Stables),Susannah Leigh,2003,485
Kushiel's Avatar (Kushiel's Legacy),Jacqueline Carey,2004,394
Essentials of Computational Chemistry : Theories and Models,Christopher J.  Cramer,2002,450
Kushiel's Chosen (Kushiel's Legacy),Jacqueline Carey,2003,538
And Babies Make Four  (Manhattan Multiples),Marie Ferrarella,2003,524
The Tycoon's Double Trouble  (Daycare Dads),Susan Meier,2003,206
The Greek Tycoon's Ultimatum   The Greek Tycoons (Harlequin Presents, 2353),Lucy Monroe,2003,560
The Firm (Random House Large Print),JOHN GRISHAM,2004,370
A Careful Wife,Lindsay Armstrong,2002,207
The Parisian Playboy   In Love With Her Boss,Helen Brooks,2003,465
Der Fisch lernt fliegen. Unterwegs durch die Jahre.,Erika Pluhar,2000,277
The Da Vinci Code,DAN BROWN,2003,552
Name Der Rose,Umberto Eco,0,286
Mi Gato Angus, El Primer Morreo Y El Pasta,Louise Rennison,2002,473
El Ultimo Adios,Mary Higgins Clark,2002,367
LA Tabla De Flandes,Arturo Perez Reverte,2003,402
Overload,Arthur Hailey,0,342
The Royal Physician's Visit: A Novel,Per Olov Enquist,2002,205
The Disappearance of Sherlock Holmes,Larry Millett,2003,309
The Threatening Storm: The Case for Invading Iraq,Kenneth M. Pollack,2002,298
Blue Latitudes : Boldly Going Where Captain Cook Has Gone Before,Tony Horwitz,2003,406
Peace Like a River,Leif Enger,2002,253
The Cat Who Went Up the Creek,Lilian Jackson Braun,2003,260
Montana Sky,Nora Roberts,2000,387
To Kiss a Spy (Get Connected Romances),JANE FEATHER,2003,226
Lady of Desire,Gaelen Foley,2003,585
The Ring on Her Finger (Avon Romance),Elizabeth Bevarly,2002,497
Impostress (Signet Historical Romance),Lisa Jackson,2003,403
Savage Destiny (Savage),Cassie Edwards,2003,566
Bride Of Black Douglas (Mira),Elaine Coffman,2000,378
Texas Bride (Leisure Historical Romance),Leigh Greenwood,2002,504
The Iron Rose,Marsha Canham,2003,239
Love With the Proper Husband (Avon Historical Romance),Victoria Alexander,2003,595
On a Wicked Dawn (Cynster Novels),Stephanie Laurens,2002,232
The Italian's Trophy Mistress  (Mistress To A Millionaire),Diana Hamilton,2003,370
Naughty Marietta,Nan Ryan,2003,445
The Love Knot,Rebecca Brandewyne,2003,309
Racing Moon,Cassie Edwards,2003,333
Seduced,Pamela Britton,2003,486
The Very Virile Viking,Sandra Hill,2003,307
Reckless Embrace (Leisure Historical Romance),Madeline Baker,2002,529
Kingdom Of Moonlight,Josie Litton,2002,587
Married By Midnight (Harlequin Historical, No. 622),Judith Stacy,2002,380
Breaking All the Rules (Avon Light Contemporary Romances),Sue Civil-Brown,2002,580
River Road (Ross, Joann. Callahan Brothers Trilogy, 2.),JoAnn Ross,2002,202
A Season Of Miracles,Heather Graham,2002,405
Heart of a Warrior,Johanna Lindsey,2002,460
Savage Moon,Cassie Edwards,2002,549
The Mating Game (Zebra Contemporary Romance),Melanie George,2002,494
Lady Sophia's Lover,Lisa Kleypas,2002,390
Move Your Stuff, Change Your Life : How to Use Feng Shui to Get Love, Money, Respect and Happiness,Karen Rauch Carter,2000,479
Nothing in This Book Is True, but It's Exactly How Things Are: The Esoteric Meaning of the Monuments on Mars,Bob Frissell,2003,574
Diary of a Mad Bride (Summer Display Opportunity),Laura Wolf,2002,245
Standing in the Rainbow,FANNIE FLAGG,2003,439
East of Eden (Oprah's Book Club),John Steinbeck,2003,527
Scorpio Illusion Uk,Robert Ludlum,0,374
Pay It Forward,Catherine Ryan Hyde,2000,478
Face the Fire (Three Sisters Island Trilogy),Nora Roberts,2002,427
Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,2002,428
Digital Fortress : A Thriller,Dan Brown,2000,265
Dude, Where's My Country?,Michael Moore,2003,332
Meurtres en soutane,P.D. James,2003,384
Domain,Steve Alten,2002,239
Hateship, Friendship, Courtship, Loveship, Marriage : Stories,Alice Munro,2002,534
The Nanny Diaries: A Novel,Emma McLaughlin,2003,305
Revelation and the Fall of Judea,Maurice A. Williams,2002,500
The Dante Club : A Novel,Matthew Pearl,2003,297
Who Left That Body in the Rain? (Thoroughly Southern Mysteries),Patricia Sprinkle,2002,585
Violets Are Blue,James Patterson,2002,490
The King of Torts,JOHN GRISHAM,2003,462
The Eyre Affair: A Novel,Jasper Fforde,2003,379
Wind Walker,Cassie Edwards,2004,250
The Tea Rose,Jennifer Donnelly,2004,388
To the Limit (Intimate Moments),Virginia Kelly,2004,482
Embrace the Twilight,Maggie Shayne,2003,460
Edge of Twilight,Maggie Shayne,2004,350
Watchers,Dean R. Koontz,2003,550
The Chronicles of Riddick,ALAN DEAN FOSTER,2004,568
The Hours: A Novel,Michael Cunningham,2002,237
Van Helsing,Kevin Ryan,2004,490
The Lions of Lucerne,Brad Thor,2002,425
H.M.S. Unseen,Patrick Robinson,2000,265
The Passenger,Patrick A. Davis,2000,555
Os Maias,Eca de Queiros,0,577
S.W.A.T.,Diane Carey,2003,323
Dark Labyrinth,Lawrence Durrell,0,229
Das Tagebuch Der Bridget Jones,Helen Fielding,2000,336
Die f?¼nfte Frau.,Henning Mankell,2000,473
Ten Secrets for the Man in the Mirror,Patrick Morley,2000,543
The Carnivorous Carnival (A Series of Unfortunate Events, Book 9),Lemony Snicket,2002,289
A Place of Hiding,ELIZABETH GEORGE,2003,306
The Autograph Man: A Novel (Vintage International (Paperback)),Zadie Smith,2003,356
The Firebrand: A Novel,Marion Zimmer Bradley,2003,505
The Third Witch: A Novel,Rebecca Reisert,2002,297
Diving Bell and the Butterfly,Jean Dominiqu Bauby,0,432
Sommer Ende Zwanzig.,Claudio Paglieri,2003,592
Ehrensache.,Ian Rankin,2002,426
Alberta empf?¤ngt einen Liebhaber. Jubil?¤ums- Edition.,Birgit Vanderbeke,2002,599
The Forgotten Treasure (Book of Mormon Sleuth, Vol. 4),C. B. Andersen,2004,390
Sheltie Saves The Day (Sheltie),Peter Clover,2000,472
El caballero de la armadura oxidada,Robert Fisher,2000,582
The Body on the Beach: A Fethering Mystery (Fethering Mysteries (Hardcover)),Simon Brett,2000,368
From This Moment on,Lynn Kurland,2002,272
The Cheese Monkeys : A Novel in Two Semesters,Chip Kidd,2002,232
South of the Border, West of the Sun,Haruki Murakami,2000,595
Bagombo Snuff Box: Uncollected Short Fiction,Kurt Vonnegut,2000,486
The Neal Pollack Anthology of American Literature: The Collected Writings of Neal Pollack,Neal Pollack,2002,204
Uno, Nessuno E Centomila (Fiction, Poetry and Drama),Pirandello,0,398
Ensel und Krete. Ein M?¤rchen aus Zamonien von Hildegunst von Mythenmetz.,Walter Moers,2000,452
Humans (Neanderthal Parallax),Robert J. Sawyer,2003,482
Fire by Night (Refiner's Fire, 2),Lynn N. Austin,2003,376
Galileo's Daughter: A Historical Memoir of Science, Faith, and Love,Dava Sobel,2000,467
Five Quarters of the Orange,Joanne Harris,2002,232
Partner in Crime,J.A. Jance,2003,296
Ein springender Brunnen.,Martin Walser,2000,473
Artemis Fowl.,Eoin Colfer,2003,425
La L?©gende d'Henry Smart,Roddy Doyle,2002,520
Anleitung zum Unschuldigsein. Das ??bungsbuch f?¼r ein schlechtes Gewissen.,Florian Illies,2002,433
Das Superwieb,Hera Lind,2002,576
Juno &amp; Juliet: A Novel,Julian Gough,2002,507
What to Expect When You Use the Potty (What to Expect Kids),Heidi Murkoff,2000,254
Mr. Perfect,Linda Howard,2000,476
Sleep Tight (Onyx Book),Anne Frasier,2003,454
The Courtship Gift: A Novel,Julie Parsons,2000,592
Warning Signs,Stephen White,2003,526
Philosopher Looks At Science,John G Kemeny,0,327
Bookends : A Novel,Jane Green,2003,204
The Private Life of Kim Philby: The Moscow Years,Rufina Philby,2000,554
Who Was Dr.Charlotte Bach?,Francis Wheen,2002,332
The Pretender: How Martin Frankel Fooled the Financial World and Led the Feds on One of the Most Publicized Manhunts in History,Ellen Pollock,2002,594
Without Remorse,Tom Clancy,2004,593
The Tail of the Tip-Off,RITA MAE BROWN,2003,534
Jedes Sandkorn ist ein Buchstabe,Arnulf Zitelmann,2002,235
Catherine, Lady wider Willen. Sonderausgabe.,Karen Cushman,2002,233
The Man with the Dancing Eyes,Sophie Dahl,2003,407
The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,484
The DREAMS OUR STUFF IS MADE OF: How Science Fiction Conquered the World,Thomas M. Disch,2000,244
Callahan's Secret,Spider Robinson,2002,394
Mittsommermord. Roman.,Henning Mankell,2002,349
Russendisko.,Wladimir Kaminer,2002,203
Hunde von Riga.,Henning Mankell,2000,482
School Smarts: All the Right Answers to Homework, Teachers, Popularity, and More!,Brooks Whitney,2000,299
The Wonderful Story of Henry Sugar and Six More,Roald Dahl,2000,448
Roter Drache,Robert Harris,2002,488
Spiriti,Stefano Benni,2002,573
Positively 4th Street: The Lives and Times of Joan Baez, Bob Dylan, Mimi Baez Farina and Richard Farina,David Hajdu,2002,533
Dress Your Family in Corduroy and Denim,David Sedaris,2004,457
Ransom (Steel, Danielle),DANIELLE STEEL,2004,384
Murder on St. Mark's Place (Gaslight Mysteries),Victoria Thompson,2000,238
Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,355
Death Flies On Final (Wwl Mystery),Jackie Lewin,2000,440
The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries),Mark Haddon,2004,533
The Verb To Bird,Peter Cashwell,2003,299
Plan of Attack,Bob Woodward,2004,343
So Many Books: Reading and Publishing in an Age of Abundance,Gabriel Zaid,2003,326
The Kite Runner (Alex Awards (Awards)),Khaled Hosseini,2003,433
The Buying of the President 2004 : Who's Really Bankrolling Bush and His Democratic Challengers--and What They Expect in Return (Buying of the President),Charles Lewis,2004,457
Small Wonder : Essays,Barbara Kingsolver,2003,292
Tales of the Unexpected,Roald Dahl,0,472
La Ley De La Calle,Susan E. Hinton,2002,205
La Gare des faux d?©parts,Hugo Marsan,2002,347
99 francs: Roman,Frédéric Beigbeder,2000,243
Les Quatre Accords tolt?¨ques : La Voix de la libert?© personnelle,Miguel Ruiz,2000,358
Le Colonel Chabert,Balzac,2000,245
My Favorite Bride,Christina Dodd,2002,554
Ravished (Signet Historical Romance),Virginia Henley,2002,290
The Promise in a Kiss,Stephanie Laurens,2002,260
Pure Poetry: A Novel,Binnie Kirshenbaum,2000,384
The Third Miracle : A Novel,Richard Vetere,2000,589
It,Stephen King,0,452
Murder on the Mauretania (George Porter Dillman and Genevieve Masefield Mysteries),Conrad Allen,2000,475
Currahee!:  A Screaming Eagle at Normandy,Donald R. Burgett,2000,433
Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission,HAMPTON SIDES,2002,459
The Book of Eleanor,PAMELA KAUFMAN,2002,564
Royal Blood: Richard III and the Mystery of the Princes,Bertram Fields,2000,564
A Delusion of Satan: The Full Story of the Salem Witch Trials,Frances Hill,2002,565
Se Una Notte D'Inverno UN Viaggiatore,Italo Calvino,2002,383
Buddha of Suburbia,Hanif Kureishi,2000,420
Gallow's Thief,Bernard Cornwell,2003,360
The Giving Heart: Unlocking the Transformative Power of Generosity in Your Life,M. J. Ryan,2000,227
Gratitude: Affirming the Good Things in Life,Melody Beattie,2000,372
The Patient,Michael Palmer,2000,436
Unnatural Exposure,Cornwell Patricia,0,587
Disgrace,J. M. Coetzee,2000,499
Der Strand,Alex Garland,2000,564
In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,2000,577
Dreams of Dead Womens Handbags,Shena Mackay,0,297
Picture Maker,Penina Keen Spinka,2002,255
La Lumi?¨re du monde,Christian Bobin,2003,594
Le Dictateur et le hamac,Daniel Pennac,2003,235
Small Town,Lawrence Block,2003,587
En LA Boca Del Dragon,Ken Follett,2002,268
Dead Run,Erica Spindler,2003,389
The Diary of a Teenage Girl: An Account in Words and Pictures,Phoebe Gloeckner,2002,506
Kushiel's Avatar (Kushiel's Legacy),Jacqueline Carey,2003,487
Kushiel's Dart,Jacqueline Carey,2002,378
Adventures of a Scottish Heiress,Cathy Maxwell,2003,522
The Lady in Question,Victoria Alexander,2003,539
The Happiest Baby on the Block : The New Way to Calm Crying and Help Your Baby Sleep Longer,Harvey Karp,2002,489
Girls of the Summer,Barbara Bretton,2003,279
Gun Monkeys,VICTOR GISCHLER,2003,252
Sherlock Holmes vs. Dracula,Loren Estleman,2000,573
The Surgeon,TESS GERRITSEN,2002,220
Buck Fever (A Blanco County, Texas, Novel),Ben Rehder,2003,596
Deadlines and Datelines,Dan Rather,2000,554
I'm Ok-You're Ok,Thomas Harris,2004,238
Basket Case,Carl Hiaasen,2003,549
Outfoxed,Rita Mae Brown,2000,562
To Bury the Dead,Craig Spector,2000,563
One Hungry Monster,Susan H Okeefe,0,446
4 Blondes,Candace Bushnell,2002,377
The Dewey Decimal System of Love,Josephine Carr,2003,344
A Case of Conscience (Del Rey Impact),James Blish,2000,502
Diamonds Are Forever: A James Bond Novel,Ian Fleming,2002,434
Shipping News,E Annie Proulx,0,303
Falling Angels,Tracy Chevalier,2002,260
Vivir Para Contarla,Gabriel Garcia Marquez,2002,537
Amours sorci?¨res (export),Jelloun,2003,333
Midnight Champagne : A Novel (Mysteries &amp; Horror),A. Manette Ansay,2000,360
A Circle of Silver (Circle of Silver Chronicles),Maxine Trottier,2000,427
Louise Brindley Omnibus (Pb),Brindley Louise,2000,544
Der gefallene Engel.,Paul Doherty,2000,589
Des Teufels Kardinal.,Allan Folsom,2000,524
Die Zuckerb?¤ckerin.,Petra Durst-Benning,2002,323
Kleine Schw?¤ne.,Eva Maaser,2002,576
Los amigos que perdí,Jaime Bayly,2000,342
Der Fluch des Falken.,Elizabeth Peters,2000,225
Der Gesang des Troubadours.,Clara Pierre,2002,258
Verso Casa. Heimwege.,Susanna Tamaro,2002,568
The Warmasters,David Weber,2002,506
The Guardian,Nicholas Sparks,2004,209
Midnight Voices,JOHN SAUL,2003,465
Send No Flowers,SANDRA BROWN,2000,386
The Little Princesses,Marion Crawford,2002,336
Down to Earth: The Year of the Cornflake (Down to Earth),Faith Addis,2000,343
Panorama Desde El Puente,Arthur Miller,2004,264
Dry: A Memoir,Augusten Burroughs,2003,248
A Noble Radiance,Donna Leon,2003,397
American Fuji,Sara Backer,2002,446
The Hero and the Crown,Robin McKinley,2000,397
Lucky : A Memoir,Alice Sebold,2002,374
La Perla,John Steinbeck,2003,479
Last Writes (Levine, Laura, Jaine Austen Mystery.),Laura Levine,2003,500
Love and Other Four-Letter Words (Laurel-Leaf Books),Carolyn Mackler,2002,293
Sisterchicks Do the Hula (Sisterchicks),Robin Jones Gunn,2003,269
The Miss America Family : A Novel,Julianna Baggott,2002,456
Second Helpings : A Novel,MEGAN MCCAFFERTY,2003,487
Bare Necessity,Carole Matthews,2003,343
Girls' Poker Night: A Novel,Jill Davis,2003,280
Urban Etiquette: Marvelous Manners for the Modern Metropolis,Charles Purdy,2004,544
Starting From Square Two (Red Dress Ink),Caren Lissner,2004,553
I Don't Know How She Does It,ALLISON PEARSON,2003,268
Mates, Dates, and Cosmic Kisses (Mates, Dates),Cathy Hopkins,2003,223
Little Book of Low Calorie Recipes,Grange Books Ed,0,467
The Inanimate World: Stories,Robert Strandquist,2000,275
Transformation Soup : Healing for the Splendidly Imperfect,Sark,2000,225
Bittersweet,DANIELLE STEEL,2000,582
Call It Destiny (Mira),Jayne Ann Krentz,2000,237
Paradise Lost,J.A. Jance,2002,523
Red Rabbit,Tom Clancy,2003,465
El Codigo Da Vinci / The Da Vinci Code,Dan Brown,2003,477
Chicken Soup for the Writer's Soul : Stories to Open the Heart and Rekindle the Spirit of Writers (Chicken Soup for the Soul),Jack Canfield,2000,544
Call Each River Jordan,Owen Parry,2002,445
Faded Coat of Blue,Owen Parry,2000,457
Population: 485 : Meeting Your Neighbors One Siren at a Time (Wisconsin),Michael Perry,2002,243
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2000,574
City of Djinns: A Year in Delhi,William Dalrymple,2003,433
The Sewing Circles of Herat : A Personal Voyage Through Afghanistan,Christina Lamb,2002,439
Group: Six People in Search of a Life,Paul Solotaroff,2000,595
The Program,Stephen White,2002,364
Name of the Rose,Umberto Eco,0,276
Under Pressure: The Final Voyage of Submarine S-Five,A. J. Hill,2003,540
Under Pressure : The Final Voyage of Submarine S-Five,A. J. Hill,2002,557
Turning Point,Sharon Sala,2002,477
A Bend in the Road,Nicholas Sparks,2002,404
Shopaholic Ties the Knot,Sophie Kinsella,2003,287
LA Mujer Habitada,Giaconda Belli,2003,428
Maestro y Margarita, El,Mijail Bulgakov,2000,495
One Door Away from Heaven,Dean R. Koontz,2002,346
The Devil's Banker,CHRISTOPHER REICH,2003,547
Manhattan Memoir,Mary Cantwell,2000,477
Wizards Don't Wear Graduation Gowns (Adventures of the Bailey School Kids, 45),Debbie Dadey,2002,505
Taming Your Gremlin (Revised Edition): A Surprisingly Simple Method for Getting Out of Your Own Way,Rick Carson,2003,452
Assassins: Assignment: Jerusalem, Target: Antichrist (Left Behind No. 6),Tim Lahaye,2000,407
Death Strike (Left Behind the Kids),Jerry Jenkins,2000,468
Busted! (Left Behind. the Kids, 7),Jerry Jenkins,2000,524
Suzanne's Diary for Nicholas,James Patterson,2002,224
Playing It by Heart: Taking Care of Yourself No Matter What,Melody Beattie,2003,294
The Heart Reader,Anonymous,2000,390
The Bondwoman's Narrative,Hannah Crafts,2003,235
Kirith Kirin,Jim Grimsley,2000,522
How to Be a Canadian: Even If You Already are One,Will Ferguson,2003,477
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2002,469
Let's Roll: Ordinary People, Extraordinary Courage,Lisa Beamer,2002,229
Fiddleback: A Novel,J.M. Morris,2002,558
Resurrection Men (Inspector Rebus S.),Ian Rankin,2002,387
Belarus,Lee Hogan,2002,289
Man's Search for Ultimate Meaning,Viktor E. Frankl,2000,302
Ghost Boy,Iain Lawrence,2002,469
Confessions of an Ugly Stepsister : A Novel,Gregory Maguire,2000,493
House of Leaves,Mark Z. Danielewski,2000,275
The Green,Troon McAllister,2000,372
The Syndrome,John Case,2002,399
A Gesture Life,Chang-Rae Lee,2000,377
The Lion's Game,Nelson DeMille,2000,395
The Master of Rain,TOM BRADBY,2002,452
Stardust,Neil Gaiman,2003,323
Just Like Your Daddy,D. E. Rogers,2002,496
The Great Pretender,Millenia Black,2002,476
Little Women,Louisa May Alcott,0,359
El Libro de Las Ilusiones,Paul Auster,2003,353
Pnin,VLADIMIR NABOKOV,2004,462
El Ultimo Encuentro,Sandor Marai,2003,475
La Ceremonia del Masaje,Alan Bennett,2003,328
Estupidos Hombres Blancos,Michael Moore,2003,396
Let Me Go,Helga Schneider,2004,206
Los Renglones Torcidos De Dios,Luca de Tena,0,558
Les Soldats de Salamine,Javier Cercas,2002,334
Nueve Cuentos,J. D. Salinger,2004,409
The Austere Academy (A Series of Unfortunate Events, Book 5),Lemony Snicket,2000,583
Brideshead Regained,Michael Johnston,2003,280
Lesser Evil (Star Trek Deep Space Nine: Mission Gamma, Book 4),Robert Simpson,2002,325
Cathedral (Star Trek Deep Space Nine: Mission Gamma, Book 3),Michael A. Martin,2002,309
This Gray Spirit (Star Trek Deep Space Nine: Mission Gamma, Book 2),Heather Jarman,2002,523
Ender's Shadow,Orson Scott Card,2000,329
The Evil That Men Do (Buffy the Vampire Slayer),Nancy Holder,2000,382
Resurrecting Ravana  (Buffy the Vampire Slayer),Ray Garton,2000,540
Flight,Jan Burke,2002,268
Sanft entschlafen. Commissario Brunettis sechster Fall.,Donna Leon,2000,566
Preguntale a Platon,Lou Marinoff,2003,449
The Pleasure of My Company: A Novel,Steve Martin,2003,222
House of Sand and Fog,Andre Dubus III,2000,449
Hunting Season (Anna Pigeon Novels (Paperback)),Nevada Barr,2003,460
The Tulip,Anna Pavord,2000,238
The Mulberry Tree,Jude Deveraux,2003,424
Thursday'S At Eight,Debbie Macomber,2002,524
Love Story,Erich Segal,2002,327
Fever Pitch,Nick Hornby,2000,476
High Fidelity,Nick Hornby,2000,529
East of the Mountains (Vintage Contemporaries (Paperback)),David Guterson,2000,467
The Vision of Emma Blau,Ursula Hegi,2000,589
Akhenaten : Dweller in TruthA Novel,Naguib Mahfouz,2000,497
Shanghai Baby : A Novel,Wei Hui,2002,480
Some Days There's Pie: A Novel,Catherine Landis,2003,575
Long Hot Summoning (The Keeper's Chronicles, Number 3),Tanya Huff,2003,386
Sleep Toward Heaven: A Novel,Amanda Eyre Ward,2003,552
The Salmon of Doubt,DOUGLAS ADAMS,2003,427
Parzival and the Stone from Heaven: A Grail Romance Retold for Our Time,Lindsay Clarke,2002,233
The Fresco,Sheri S. Tepper,2002,449
The Book of Air (Dragon Quartet),Marjorie B. Kellogg,2003,206
The Book of Fire (Kellogg, M. Bradley. Dragon Quartet, V. 3.),Marjorie B. Kellogg,2000,362
Sky Coyote (A Novel of the Company, Book 2),Kage Baker,2000,340
Fire Bringer,David Clement-Davies,2002,424
Mister Posterior and the Genius Child,Emily Jenkins,2002,587
Secret,Mirika Mayo Cornelius,2002,304
Dream Island (Medieval Trilogy),Josie Litton,2002,456
Strange but True,John Searles,2004,388
That's Amore,Carol Grace,2003,500
The Last Chance Cafe : A Novel,Linda Lael Miller,2002,579
Lucia, Lucia : A Novel,ADRIANA TRIGIANI,2003,374
To the Heart of the Nile : Lady Florence Baker and the Exploration of Central Africa,Pat Shipman,2004,594
The Secret Hour,LUANNE RICE,2003,587
Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,2003,385
Dance upon the Air (Three Sisters Island Trilogy),Nora Roberts,2003,307
Murder Under Blue Skies,Willard Scott,2002,486
The Future Homemakers of America,Laurie Graham,2002,253
Entering Normal (Ballantine Reader's Circle),Anne D. Leclaire,2002,500
Dirt Music : A Novel,Tim Winton,2002,304
The Vorpal Blade,Colin Forbes,2002,522
Unbearable Lightness of Being,Milan Kundera,0,229
The Secrets of Bach Flower Remedies,Jeremy Harwood,2000,520
More Than a Pink Cadillac : Mary Kay, Inc.'s Nine Leadership Keys to Success,Jim Underwood,2002,336
Snow White and the Seven Samurai,Tom Holt,0,300
The Corrections: A Novel,Jonathan Franzen,2002,233
CSI, Miami: Heat Wave,Max Allan Collins,2004,266
The Dragon Lord's Daughters,Bertrice Small,2004,306
Getting What You Want,Kathy Love,2004,398
Perfect Switch,Lisa Plumley,2004,206
What Memories Remain,Cait London,2004,340
The Thin Pink Line (Red Dress Ink),Lauren Baratz-Logsted,2004,473
With Open Arms (Silhouette Single Title),Nora Roberts,2004,524
Nerd in Shining Armor,Vicki Lewis Thompson,2003,368
The Toy Factory (Sammy and Brian Mystery),Ken Munro,2000,424
Shopgirl : A Novella,Steve Martin,2000,453
Im Caf?© und auf der Strasse. Geschichten.,Hansj?¶rg Schneider,2002,588
Fursorgliche Belagerung (Fiction, Poetry and Drama),Boll,0,356
Stupid White Men. Eine Abrechnung mit dem Amerika unter George W. Bush,Michael Moore,2003,562
Nobrow: The Culture of Marketing-The Marketing of Culture,John Seabrook,2000,278
Scent of Dried Roses,Tim Lott,0,577
High Fidelity,Nick Hornby,2000,260
Sea Glass: A Novel,Anita Shreve,2002,260
Who Was the Man in the Iron Mask?: And Other Historical Enigmas (Penguin Classic History S.),Hugh Ross Williamson,2002,532
Free Software, Free Society: Selected Essays of Richard M. Stallman,Richard M. Stallman,2002,479
The Best American Science and Nature Writing 2002 (The Best American (TM)),Natalie Angier,2002,390
Mike Nelson's Death Rat! : A Novel,Michael J. Nelson,2003,343
Nigger - The Strange Career of a Troublesome Word,Randall Kennedy,2002,487
Murder at the Mendel (Joanne Kilbourn Mysteries (Paperback)),GAIL BOWEN,2000,225
The Map That Changed the World : William Smith and the Birth of Modern Geology,Simon Winchester,2002,264
A Clash of Kings (A Song of Fire and Ice, Book 2),George R. R. Martin,2000,426
A Storm of Swords (A Song of Ice and Fire, Book 3),GEORGE R.R. MARTIN,2003,324
Under the Banner of Heaven : A Story of Violent Faith,JON KRAKAUER,2004,464
Brick Lane : A Novel,Monica Ali,2004,495
The First Time,Joy Fielding,2000,530
Grand Avenue,Joy Fielding,2002,444
Good Grief : A Novel,Lolly Winston,2004,267
Rapture,SUSAN MINOT,2002,528
Daddy's Girl,Charlotte Vale Allen,2002,540
Irish Girls About Town : An Anthology of Short Stories,Maeve Binchy,2004,589
When My Sister Was Cleopatra Moon,Frances Park,2000,466
Regime Unchanged,Milan Rai,2003,544
The Legend of Bagger Vance,Steven Pressfield,2000,252
Birds of America,Lorrie Moore,0,397
The First Law,John T. Lescroart,2004,535
The English Assassin,Daniel Silva,2002,376
The Great War: Walk in Hell,Harry Turtledove,2000,533
Franklin Delano Roosevelt: Champion of Freedom,Conrad Black,2003,546
The Vendetta Defense,Lisa Scottoline,2002,367
Stupid White Men : ...And Other Sorry Excuses for the State of the Nation!,Michael Moore,2004,577
The Commanding Heights : The Battle for the World Economy,Daniel Yergin,2002,449
Der Steppenwolf,Hermann Hesse,2004,380
Das Schwarze Auge 50. Gassengeschichten. F?¼nfzigster Band aus der aventurischen Spielewelt.,Ulrich Kiesow,2000,395
The Chronoliths,Robert Charles Wilson,2002,345
Gossip Times Three,Amy Goldman Koss,2003,346
Day of the Triffids,John Wyndham,0,256
The Soddit : or, Cashing in Again (Gollancz SF S.),A.R.R.R. Roberts,2003,485
Town Like Alice,Nevil Shute,0,422
Sun Dog,Monique Roffey,2002,462
Gangbuster,Peter Blexley,2002,524
The Prophecies,Nostradamus,0,437
Mission Sphinx.,Glenn Meade,2000,224
Der Richter.,John Grisham,2003,276
My Last Remains,Jill Remains,2002,594
Gossip Hound,Wendy Holden,2003,566
The Big Bad Wolf Tells All,DONNA KAUFFMAN,2003,445
The Wedding Knight,Joanne Rock,2004,224
Executioner's Current: Thomas Edison, George Westinghouse, and the Invention of the Electric Chair,Richard Moran,2002,563
Distant Shores,KRISTIN HANNAH,2002,227
Blue Angel,Francine Prose,2000,368
Blessings,ANNA QUINDLEN,2002,242
Boy in the Water,Stephen Dobyns,2000,269
Death Row,WILLIAM BERNHARDT,2004,596
The Bad Girl's Guide to Getting What You Want,Cameron Tuttle,2000,430
Fire Ice: A Novel from the NUMA Files,Clive Cussler,2002,522
Great Eastern RV Trips: A Year-Round Guide to the Best Rving in the East,Janet  Groene,2000,490
Matchstick Men : A Novel About Grifters with Issues,ERIC GARCIA,2003,467
Chill Factor (Detective Inspector Charlie Priest Mystery),Stuart Pawson,2003,484
Getting What You Want: The 7 Principles of Rational Living,Robert J. Ringer,2000,222
Elixir,Gary Braver,2000,459
Last Puzzle &amp; Testament,Parnell Hall,2000,323
Running Blind,Lee Child,2000,270
Midnight In the Garden of Good and Evil,John Berendt,0,553
Last Chance Saloon,Marian Keyes,2003,567
The Quiet Game,Greg Iles,2000,228
The Other Man: A Love Story,Michael Bergin,2004,520
Must Love Dogs,Claire Cook,2003,430
The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2003,202
Affenliebe. Die Geschichte eines langen Entzugs.,Silvana Klein,2002,275
Das Leiden anderer betrachten.,Susan Sontag,2003,202
On the Street Where You Live,Mary Higgins Clark,2002,456
Rosa: Roman,Heike Geissler,2002,225
Die Tote Ohne Namen,Patricia Cornwell,0,235
Fever Pitch. Ballfieber - Die Geschichte eines Fans.,Nick Hornby,2002,462
Fortune's Hand,Belva Plain,2000,543
Blindfold,Siri Hustvedt,0,270
Une si longue nuit,Mary Higgins Clark,2000,487
Sing Me Home,Jerri Corgiat,2004,236
Past Continuous (Tusk Ivories),Yaakov Shabtai,2002,397
